state	root	nonSwedish
13660000	None	2003.1156970930513
13680000	None	2005.7162861270735
13700000	None	2004.2707789186436
13720000	None	1999.7914655405064
13740000	1953.2934040954372	2005.3711364920891
13760000	1957.9642782405072	2001.9398932168226
13780000	1955.7352545766648	2004.535606642439
13800000	1960.5734163606053	2005.7770090303297
13820000	1958.3170437794222	2003.1298829994578
13840000	None	1996.9644432668726
13860000	None	1997.6744718857929
13880000	None	1996.2056090344563
13900000	1935.3125271994609	1997.1861997635208
13920000	1929.7705477146587	1995.2855493657423
13940000	None	1998.71576766318
13960000	None	1996.5509090273765
13980000	1951.4358017958377	1994.675005156021
14000000	None	2001.2256457784608
14020000	None	1997.1962521005369
14040000	1944.7416941778645	1998.2634846895041
14060000	1918.7437397537797	1992.0433354996662
14080000	1933.5646838312282	2000.5560325617146
14100000	1934.1095641707743	1997.0970717015357
14120000	None	1998.9418308204126
14140000	1951.9013571913842	1998.7050625735367
14160000	1952.561746910314	2003.6692523681527
14180000	1959.833052989623	2001.6158352974846
14200000	1960.2692597607181	2005.1261081951395
14220000	1952.338670244015	2004.7254027584365
14240000	1961.515524286156	2000.4652277589298
14260000	1952.3319153408354	2004.2859458594248
14280000	1958.1174509495663	2005.1452462866096
14300000	None	2001.9913766812947
14320000	1961.8617983579018	1999.25299192073
14340000	1953.1646049051442	2003.2728551703392
14360000	1953.8504862853463	2000.5503957060794
14380000	None	2004.4473882493162
14400000	None	2003.0967226204918
14420000	1943.4375741950141	2001.8666922061777
14440000	None	2001.2763678876101
14460000	None	2004.8989205289026
14480000	1951.2073687294217	2003.7282067096758
14500000	1968.4105298207246	2005.4553209804824
14520000	1956.9179224020215	2004.784442145617
14540000	1963.7986835769289	2002.423692680725
14560000	None	2006.4484565264572
14580000	1963.688177692597	2005.1047860461072
14600000	1971.285065123628	2007.4813985988314
14620000	1969.1541005281954	2005.7201210328647
14640000	None	2007.0461074079685
14660000	1968.8437208736332	2007.3044636328364
14680000	1962.0772132752088	2003.840908171205
